,index,year_range,population,gdp,cement_co2,co2,coal_co2,consumption_co2,flaring_co2,gas_co2,land_use_change_co2,methane,nitrous_oxide,oil_co2,other_industry_co2,total_ghg,trade_co2
131,49556,2010-2019,7110923797.0,,1358.844,34504.539,14737.899,34504.539,359.29,6412.035,5278.267,9672.067,2766.553,11361.404,275.065,51089.148,0.0
132,49557,2010-2019,7201202531.0,,1394.763,35000.02,14906.987,35000.02,377.063,6550.136,5651.894,9767.593,2795.043,11494.373,276.697,52088.527,0.0
133,49558,2010-2019,7291793608.0,,1454.628,35301.656,15001.509,35301.656,385.277,6587.851,5116.153,9742.556,2777.339,11577.865,294.526,51811.949,0.0
134,49559,2010-2019,7381616239.0,,1502.477,35450.094,15017.948,35450.094,386.7,6631.221,5396.192,9827.423,2811.28,11606.367,305.381,52359.199,0.0
135,49560,2010-2019,7470491904.0,106871830609920.0,1451.156,35404.898,14667.685,35404.895,384.005,6766.76,5531.586,9848.547,2816.747,11831.668,303.623,52443.984,-0.004
136,49561,2010-2019,7558554580.0,110407201062912.0,1490.399,35416.656,14336.13,35416.656,374.031,6952.65,4406.253,9878.319,2832.302,11962.95,300.496,51361.516,0.0
137,49562,2010-2019,7645618013.0,114529589526528.0,1509.493,35989.898,14513.114,35989.898,387.279,7127.797,4231.022,10041.971,2888.824,12149.412,302.803,51949.547,0.0
138,49563,2010-2019,7729902724.0,118765811400704.0,1554.511,36730.426,14746.245,36730.426,407.099,7470.227,3844.718,10198.932,2885.324,12249.189,303.156,52420.27,0.0
139,49564,2010-2019,7811293714.0,122149364826112.0,1623.12,37104.273,14694.93,37104.281,435.263,7633.772,3786.744,10279.053,2869.841,12411.968,305.225,52796.523,0.004
140,49565,2020-2029,7887001284.0,118590019731456.0,1638.271,35126.527,14266.885,35126.527,401.057,7564.561,3438.994,10163.954,2909.539,10960.689,295.063,50792.543,0.0
141,49566,2020-2029,7954448405.0,126004794228736.0,1696.308,36991.734,15134.602,36991.738,405.431,7922.98,3552.779,10330.923,2949.63,11530.972,301.444,52938.793,0.004
142,49567,2020-2029,8021407170.0,130112561348608.0,1601.124,37293.836,15185.965,37293.84,403.013,7892.689,3541.036,10529.812,2975.719,11909.615,301.431,53327.215,0.004
143,49568,2020-2029,8091734935.0,,1569.346,37791.57,15401.22,37791.566,410.94,7900.098,3624.905,10514.614,2996.286,12208.835,301.131,53816.852,-0.004
